Chain,Claimed Fees,Unclaimed Fees
arbitrum,1005489.6337111789,230145.9037726245
aurora,0.0,126968.23189886987
avax,66239.82303206275,174694.74153474608
boba,28505.05124528613,137166.7136590002
bsc,201667.4610683291,164038.1872037604
canto,0.0,130078.92465677511
cronos,0.0,24447.22211897609
dfk,0,0
dogechain,0.0,5193.674975635833
ethereum,1380504.060429015,59131.22646484844
fantom,94608.71149306982,233105.493298571
metis,1367457.313565117,143499.88246113533
moonriver,0.0,78.34313720491558
moonbeam,0.0,145.5668473434027
optimism,198611.54600076596,277766.8994882823
polygon,171388.21143508214,129352.01101639796
