Chain,Token Symbol,Value,Type
arbitrum,ETH,0.0,Claimed Fees
arbitrum,ETH,0.0,Unclaimed Fees
arbitrum,USDC,0.0,Claimed Fees
arbitrum,USDC,0.0,Unclaimed Fees
arbitrum,USDT,10934.71,Claimed Fees
arbitrum,USDT,0.0,Unclaimed Fees
arbitrum,DAI,4461.74,Claimed Fees
arbitrum,DAI,0.0,Unclaimed Fees
arbitrum,GMX,13193.620288834061,Claimed Fees
arbitrum,GMX,90213.94014322343,Unclaimed Fees
arbitrum,FRAX,0.0,Claimed Fees
arbitrum,FRAX,0.0,Unclaimed Fees
arbitrum,NETH,90280.26804197217,Claimed Fees
arbitrum,NETH,355278.66051849275,Unclaimed Fees
arbitrum,ARB,1205289.54,Claimed Fees
arbitrum,ARB,0.0,Unclaimed Fees
arbitrum,USDC.e,15724.142482439998,Claimed Fees
arbitrum,USDC.e,0.0,Unclaimed Fees
arbitrum,GOHM,18819.0109051688,Claimed Fees
arbitrum,GOHM,65934.1284191941,Unclaimed Fees
arbitrum,WETH,0.0,Claimed Fees
arbitrum,WETH,0.0,Unclaimed Fees
arbitrum,UNIDX,0.0,Claimed Fees
arbitrum,UNIDX,1056.7025862600053,Unclaimed Fees
arbitrum,SYN,0.0,Claimed Fees
arbitrum,SYN,6047.380382976731,Unclaimed Fees
arbitrum,NUSD,0.0,Claimed Fees
arbitrum,NUSD,43282.918256647994,Unclaimed Fees
aurora,NUSD,0.0,Claimed Fees
aurora,NUSD,126705.77351332718,Unclaimed Fees
aurora,USDC.e,0.0,Claimed Fees
aurora,USDC.e,0.0,Unclaimed Fees
aurora,USDT.e,0.0,Claimed Fees
aurora,USDT.e,0.0,Unclaimed Fees
avax,AVAX,0.0,Claimed Fees
avax,AVAX,0.0,Unclaimed Fees
avax,AVAX,34.30487134,Claimed Fees
avax,AVAX,17302.509405390618,Unclaimed Fees
avax,USDT.e,0.0,Claimed Fees
avax,USDT.e,0.0,Unclaimed Fees
avax,USDC.e,0.0,Claimed Fees
avax,USDC.e,0.0,Unclaimed Fees
avax,DAI.e,0.0,Claimed Fees
avax,DAI.e,0.0,Unclaimed Fees
avax,WETH.e,0.0,Claimed Fees
avax,WETH.e,0.0,Unclaimed Fees
avax,GOHM,16185.266502464867,Claimed Fees
avax,GOHM,15102.26084011492,Unclaimed Fees
avax,SYN,18027.15265529257,Claimed Fees
avax,SYN,10144.22034108257,Unclaimed Fees
avax,GMX,155.11721930336088,Claimed Fees
avax,GMX,0.0,Unclaimed Fees
avax,NETH,44613.35181380097,Claimed Fees
avax,NETH,59372.09132412423,Unclaimed Fees
avax,NUSD,0.6192121438599655,Claimed Fees
avax,NUSD,76963.22672609915,Unclaimed Fees
avax,USDC,0.0,Claimed Fees
avax,USDC,0.0,Unclaimed Fees
avax,USDT,0.0,Claimed Fees
avax,USDT,0.0,Unclaimed Fees
avax,JEWEL,0.0,Claimed Fees
avax,JEWEL,0.0,Unclaimed Fees
avax,BTCB,0.0,Claimed Fees
avax,BTCB,1.74352507782e-07,Unclaimed Fees
avax,AVWETH,0.0,Claimed Fees
avax,AVWETH,0.0,Unclaimed Fees
boba,WETH,0.0,Claimed Fees
boba,WETH,0.0,Unclaimed Fees
boba,ETH,0.0,Claimed Fees
boba,ETH,0.0,Unclaimed Fees
boba,USDC,0.0,Claimed Fees
boba,USDC,0.0,Unclaimed Fees
boba,USDT,0.0,Claimed Fees
boba,USDT,0.0,Unclaimed Fees
boba,DAI,0.0,Claimed Fees
boba,DAI,0.0,Unclaimed Fees
boba,NUSD,0.0,Claimed Fees
boba,NUSD,122658.26824455426,Unclaimed Fees
boba,NETH,32440.35747607418,Claimed Fees
boba,NETH,16008.009824880368,Unclaimed Fees
bsc,BUSD,0.0,Claimed Fees
bsc,BUSD,0.0,Unclaimed Fees
bsc,USDC,71210.17951649439,Claimed Fees
bsc,USDC,0.0,Unclaimed Fees
bsc,NUSD,0.0,Claimed Fees
bsc,NUSD,128118.78835526491,Unclaimed Fees
bsc,HIGH,2495.080094749684,Claimed Fees
bsc,HIGH,1507.8163739295892,Unclaimed Fees
bsc,BSC-USD,63907.307853237595,Claimed Fees
bsc,BSC-USD,0.0,Unclaimed Fees
bsc,USDT,63907.307853237595,Claimed Fees
bsc,USDT,0.0,Unclaimed Fees
bsc,SYN,201.24991818351495,Claimed Fees
bsc,SYN,3032.295840598963,Unclaimed Fees
canto,NETH,0.0,Claimed Fees
canto,NETH,0.0,Unclaimed Fees
canto,NUSD,0.0,Claimed Fees
canto,NUSD,113847.75412879822,Unclaimed Fees
canto,USDC,0.0,Claimed Fees
canto,USDC,0.0,Unclaimed Fees
canto,NOTE,0.0,Claimed Fees
canto,NOTE,0.0,Unclaimed Fees
canto,ETH,0.0,Claimed Fees
canto,ETH,0.0,Unclaimed Fees
canto,USDT,0.0,Claimed Fees
canto,USDT,0.0,Unclaimed Fees
cronos,USDC,0.0,Claimed Fees
cronos,USDC,0.0,Unclaimed Fees
cronos,NUSD,0.0,Claimed Fees
cronos,NUSD,0.0,Unclaimed Fees
dogechain,USDC,0.0,Claimed Fees
dogechain,USDC,2317.64843321148,Unclaimed Fees
dogechain,USDT,0.0,Claimed Fees
dogechain,USDT,845.254978,Unclaimed Fees
dogechain,DAI,0.0,Claimed Fees
dogechain,DAI,455.86273589001684,Unclaimed Fees
dogechain,WBTC,0.0,Claimed Fees
dogechain,WBTC,98.36721126,Unclaimed Fees
dogechain,FRAX,0.0,Claimed Fees
dogechain,FRAX,13.962564,Unclaimed Fees
dogechain,WETH,0.0,Claimed Fees
dogechain,WETH,1653.2073044733254,Unclaimed Fees
ethereum,ETH,0.0,Claimed Fees
ethereum,ETH,0.0,Unclaimed Fees
ethereum,USDC,51491.19368977731,Claimed Fees
ethereum,USDC,209.86497,Unclaimed Fees
ethereum,DAI,14401.471813558954,Claimed Fees
ethereum,DAI,60.0,Unclaimed Fees
ethereum,WBTC,3267.8148079499997,Claimed Fees
ethereum,WBTC,87.651,Unclaimed Fees
ethereum,LINK,24.064,Claimed Fees
ethereum,LINK,6.016,Unclaimed Fees
ethereum,HIGH,3723.5839047697814,Claimed Fees
ethereum,HIGH,33.04,Unclaimed Fees
ethereum,UNIDX,0.0,Claimed Fees
ethereum,UNIDX,23.28,Unclaimed Fees
ethereum,FRAX,26455.675338445653,Claimed Fees
ethereum,FRAX,99.7326,Unclaimed Fees
ethereum,NUSD,933580.0715557866,Claimed Fees
ethereum,NUSD,72289.30816364432,Unclaimed Fees
ethereum,GOHM,51203.96934459529,Claimed Fees
ethereum,GOHM,2356.8142124560795,Unclaimed Fees
ethereum,SYN,21541.506013026876,Claimed Fees
ethereum,SYN,1411.07616,Unclaimed Fees
ethereum,USDT,6772.948455,Claimed Fees
ethereum,USDT,60.0,Unclaimed Fees
ethereum,SYN-ETH Sushi LP,1679494.3474768193,Claimed Fees
ethereum,SYN-ETH Sushi LP,0.0,Unclaimed Fees
ethereum,WETH,117929.24796795877,Claimed Fees
ethereum,WETH,82447.96218280421,Unclaimed Fees
fantom,FTM,0.0,Claimed Fees
fantom,FTM,0.0,Unclaimed Fees
fantom,WFTM,292.4008391922337,Claimed Fees
fantom,WFTM,38.73438120845,Unclaimed Fees
fantom,SYN,1099.0397300856155,Claimed Fees
fantom,SYN,7367.209091230734,Unclaimed Fees
fantom,NUSD,25107.58916168518,Claimed Fees
fantom,NUSD,208238.6642574867,Unclaimed Fees
fantom,NETH,78167.53232499736,Claimed Fees
fantom,NETH,15233.27921891542,Unclaimed Fees
fantom,GOHM,0.0,Claimed Fees
fantom,GOHM,6721.76894659037,Unclaimed Fees
fantom,UNIDX,0.0,Claimed Fees
fantom,UNIDX,0.776,Unclaimed Fees
metis,METIS,10570.02,Claimed Fees
metis,METIS,0.0,Unclaimed Fees
metis,m.USDC,1341177.8745152573,Claimed Fees
metis,m.USDC,0.0,Unclaimed Fees
metis,WETH,0.0,Claimed Fees
metis,WETH,0.0,Unclaimed Fees
metis,SYN,1708.8652639301217,Claimed Fees
metis,SYN,289.42268534054926,Unclaimed Fees
metis,NUSD,0.006534142606920689,Claimed Fees
metis,NUSD,115984.96423831559,Unclaimed Fees
metis,NETH,0.0,Claimed Fees
metis,NETH,22047.126112028276,Unclaimed Fees
moonriver,MOVR,0.0,Claimed Fees
moonriver,MOVR,97.32259245576692,Unclaimed Fees
moonriver,USDC,0.0,Claimed Fees
moonriver,USDC,0.0,Unclaimed Fees
moonriver,WETH,0.0,Claimed Fees
moonriver,WETH,0.0,Unclaimed Fees
moonbeam,MOVR,0.0,Claimed Fees
moonbeam,MOVR,94.97551782730541,Unclaimed Fees
moonbeam,WETH,0.0,Claimed Fees
moonbeam,WETH,45.459995,Unclaimed Fees
optimism,ETH,0.0,Claimed Fees
optimism,ETH,0.0,Unclaimed Fees
optimism,USDC,0.0,Claimed Fees
optimism,USDC,0.0,Unclaimed Fees
optimism,DAI,0.0,Claimed Fees
optimism,DAI,0.0,Unclaimed Fees
optimism,NETH,7524.312581961227,Claimed Fees
optimism,NETH,127385.14670780384,Unclaimed Fees
optimism,UNIDX,0.0,Claimed Fees
optimism,UNIDX,840.6472406132712,Unclaimed Fees
optimism,OP,243000.00000000003,Claimed Fees
optimism,OP,0.0,Unclaimed Fees
optimism,GOHM,0.0,Claimed Fees
optimism,GOHM,1815.792488576729,Unclaimed Fees
optimism,USDT,0.0,Claimed Fees
optimism,USDT,0.0,Unclaimed Fees
optimism,SYN,0.0,Claimed Fees
optimism,SYN,939.7009332843519,Unclaimed Fees
optimism,NUSD,0.0,Claimed Fees
optimism,NUSD,134394.0675949982,Unclaimed Fees
optimism,USDC.e,0.0,Claimed Fees
optimism,USDC.e,0.0,Unclaimed Fees
optimism,SUSD,0.0,Claimed Fees
optimism,SUSD,0.0,Unclaimed Fees
optimism,WETH,0.0,Claimed Fees
optimism,WETH,0.0,Unclaimed Fees
polygon,MATIC,0.0,Claimed Fees
polygon,MATIC,0.0,Unclaimed Fees
polygon,WMATIC,12598.918804433331,Claimed Fees
polygon,WMATIC,290.415879279,Unclaimed Fees
polygon,USDC.e,32811.81362409962,Claimed Fees
polygon,USDC.e,0.0,Unclaimed Fees
polygon,WETH,0.0,Claimed Fees
polygon,WETH,0.0,Unclaimed Fees
polygon,USDT,19039.760559,Claimed Fees
polygon,USDT,0.0,Unclaimed Fees
polygon,DAI,15556.941686363338,Claimed Fees
polygon,DAI,0.0,Unclaimed Fees
polygon,SYN,568.6642745767649,Claimed Fees
polygon,SYN,814.2243763180217,Unclaimed Fees
polygon,GOHM,1878.0950092919602,Claimed Fees
polygon,GOHM,2769.0441799772607,Unclaimed Fees
polygon,NUSD,91088.86919065003,Claimed Fees
polygon,NUSD,111545.23008195998,Unclaimed Fees
