Chain,Claimed Fees,Unclaimed Fees
arbitrum,1653800.7271572857,921087.1907851405
aurora,0.0,126005.53708115013
avax,86216.92670853979,171045.4061481568
boba,33193.88583605003,138200.63659047527
bsc,203672.33212088782,82556.12665532286
canto,0.0,107897.83107571848
cronos,0.0,0.0
dfk,0,0
dogechain,0.0,5420.669992885398
ethereum,3087887.812613235,343125.85654919996
fantom,79796.58860799384,233841.02523602187
metis,1358797.3416150743,130827.7753136484
moonriver,0.0,144.63729626246695
moonbeam,0.0,140.0676392770922
optimism,336199.0881812749,242279.72538039365
polygon,179293.03419959667,91936.8097110957
