Chain,Token Symbol,Value,Type
arbitrum,ETH,0.0,Claimed Fees
arbitrum,ETH,0.0,Unclaimed Fees
arbitrum,USDC,0.0,Claimed Fees
arbitrum,USDC,0.0,Unclaimed Fees
arbitrum,USDT,10934.71,Claimed Fees
arbitrum,USDT,0.0,Unclaimed Fees
arbitrum,DAI,4458.55431764,Claimed Fees
arbitrum,DAI,0.0,Unclaimed Fees
arbitrum,GMX,13210.516619244203,Claimed Fees
arbitrum,GMX,91593.34776948346,Unclaimed Fees
arbitrum,FRAX,0.0,Claimed Fees
arbitrum,FRAX,0.0,Unclaimed Fees
arbitrum,NETH,102053.86088749519,Claimed Fees
arbitrum,NETH,41638.68960931158,Unclaimed Fees
arbitrum,ARB,1194987.92,Claimed Fees
arbitrum,ARB,0.0,Unclaimed Fees
arbitrum,USDC.e,15721.925050169999,Claimed Fees
arbitrum,USDC.e,0.0,Unclaimed Fees
arbitrum,GOHM,20165.631596727275,Claimed Fees
arbitrum,GOHM,73646.72133912052,Unclaimed Fees
arbitrum,WETH,0.0,Claimed Fees
arbitrum,WETH,0.0,Unclaimed Fees
arbitrum,UNIDX,772.2534099739282,Claimed Fees
arbitrum,UNIDX,916.5029383342803,Unclaimed Fees
arbitrum,SYN,0.0,Claimed Fees
arbitrum,SYN,4961.069289828086,Unclaimed Fees
arbitrum,NUSD,59422.379710082954,Claimed Fees
arbitrum,NUSD,3007.774863024858,Unclaimed Fees
aurora,NUSD,0.0,Claimed Fees
aurora,NUSD,127008.12306525234,Unclaimed Fees
aurora,USDC.e,0.0,Claimed Fees
aurora,USDC.e,0.0,Unclaimed Fees
aurora,USDT.e,0,Claimed Fees
aurora,USDT.e,0.0,Unclaimed Fees
avax,AVAX,0.0,Claimed Fees
avax,AVAX,0.0,Unclaimed Fees
avax,AVAX,46.18580962,Claimed Fees
avax,AVAX,25439.133827828482,Unclaimed Fees
avax,USDT.e,0.0,Claimed Fees
avax,USDT.e,0.0,Unclaimed Fees
avax,USDC.e,0.0,Claimed Fees
avax,USDC.e,0.0,Unclaimed Fees
avax,DAI.e,0.0,Claimed Fees
avax,DAI.e,0.0,Unclaimed Fees
avax,WETH.e,0.0,Claimed Fees
avax,WETH.e,0.0,Unclaimed Fees
avax,GOHM,17343.425923299314,Claimed Fees
avax,GOHM,16523.596913442663,Unclaimed Fees
avax,SYN,13382.371083815951,Claimed Fees
avax,SYN,7785.222592073883,Unclaimed Fees
avax,GMX,155.31586923660703,Claimed Fees
avax,GMX,0.0,Unclaimed Fees
avax,NETH,50431.44973399733,Claimed Fees
avax,NETH,76101.80298463725,Unclaimed Fees
avax,NUSD,81695.90929898387,Claimed Fees
avax,NUSD,1193.6612464155203,Unclaimed Fees
avax,USDC,0.0,Claimed Fees
avax,USDC,0.0,Unclaimed Fees
avax,USDT,0.0,Claimed Fees
avax,USDT,0.0,Unclaimed Fees
avax,JEWEL,0.0,Claimed Fees
avax,JEWEL,0.0,Unclaimed Fees
avax,BTCB,0.0,Claimed Fees
avax,BTCB,2.5093872006e-07,Unclaimed Fees
avax,AVWETH,0.0,Claimed Fees
avax,AVWETH,0.0,Unclaimed Fees
boba,WETH,0.0,Claimed Fees
boba,WETH,0.0,Unclaimed Fees
boba,ETH,0.0,Claimed Fees
boba,ETH,0.0,Unclaimed Fees
boba,USDC,0.0,Claimed Fees
boba,USDC,0.0,Unclaimed Fees
boba,USDT,0.0,Claimed Fees
boba,USDT,0.0,Unclaimed Fees
boba,DAI,0.0,Claimed Fees
boba,DAI,0.0,Unclaimed Fees
boba,NUSD,0.0,Claimed Fees
boba,NUSD,122845.18825660324,Unclaimed Fees
boba,NETH,36670.95591103838,Claimed Fees
boba,NETH,18594.842378119505,Unclaimed Fees
bsc,BUSD,0.0,Claimed Fees
bsc,BUSD,37.10968848451226,Unclaimed Fees
bsc,USDC,71255.99712264424,Claimed Fees
bsc,USDC,0.0,Unclaimed Fees
bsc,NUSD,0.0,Claimed Fees
bsc,NUSD,168170.92034148332,Unclaimed Fees
bsc,HIGH,3214.0014779826442,Claimed Fees
bsc,HIGH,3525.913583732652,Unclaimed Fees
bsc,BSC-USD,63907.307853237595,Claimed Fees
bsc,BSC-USD,0.0,Unclaimed Fees
bsc,USDT,63907.307853237595,Claimed Fees
bsc,USDT,0.0,Unclaimed Fees
bsc,SYN,149.39692014693748,Claimed Fees
bsc,SYN,2453.2135952188523,Unclaimed Fees
canto,NETH,0.0,Claimed Fees
canto,NETH,14295.933505460625,Unclaimed Fees
canto,NUSD,0.0,Claimed Fees
canto,NUSD,122753.8862985497,Unclaimed Fees
canto,USDC,0.0,Claimed Fees
canto,USDC,0.0,Unclaimed Fees
canto,NOTE,0.0,Claimed Fees
canto,NOTE,0.0,Unclaimed Fees
canto,ETH,0.0,Claimed Fees
canto,ETH,0.0,Unclaimed Fees
canto,USDT,0.0,Claimed Fees
canto,USDT,0.0,Unclaimed Fees
cronos,USDC,0.0,Claimed Fees
cronos,USDC,0.0,Unclaimed Fees
cronos,NUSD,0.0,Claimed Fees
cronos,NUSD,24922.786190143877,Unclaimed Fees
dogechain,USDC,0.0,Claimed Fees
dogechain,USDC,2319.13964,Unclaimed Fees
dogechain,USDT,0.0,Claimed Fees
dogechain,USDT,845.854978,Unclaimed Fees
dogechain,DAI,0.0,Claimed Fees
dogechain,DAI,455.73509432396764,Unclaimed Fees
dogechain,WBTC,0.0,Claimed Fees
dogechain,WBTC,124.02880842,Unclaimed Fees
dogechain,FRAX,0.0,Claimed Fees
dogechain,FRAX,14.014,Unclaimed Fees
dogechain,WETH,0.0,Claimed Fees
dogechain,WETH,1874.7218003793073,Unclaimed Fees
ethereum,ETH,0.0,Claimed Fees
ethereum,ETH,0.0,Unclaimed Fees
ethereum,USDC,0.03165,Claimed Fees
ethereum,USDC,390.0,Unclaimed Fees
ethereum,DAI,14397.439401451158,Claimed Fees
ethereum,DAI,119.96640000000001,Unclaimed Fees
ethereum,WBTC,4120.30768765,Claimed Fees
ethereum,WBTC,165.7755,Unclaimed Fees
ethereum,LINK,48.416000000000004,Claimed Fees
ethereum,LINK,12.104000000000001,Unclaimed Fees
ethereum,HIGH,4796.480962076329,Claimed Fees
ethereum,HIGH,168.0485685939289,Unclaimed Fees
ethereum,UNIDX,0.0,Claimed Fees
ethereum,UNIDX,255.56911345242577,Unclaimed Fees
ethereum,FRAX,26553.134094352394,Claimed Fees
ethereum,FRAX,100.1,Unclaimed Fees
ethereum,NUSD,10639.437475570592,Claimed Fees
ethereum,NUSD,51667.652621734895,Unclaimed Fees
ethereum,GOHM,54916.10379517807,Claimed Fees
ethereum,GOHM,12842.098446172686,Unclaimed Fees
ethereum,SYN,1150787.7472365983,Claimed Fees
ethereum,SYN,4160.44028775564,Unclaimed Fees
ethereum,USDT,6772.948455,Claimed Fees
ethereum,USDT,2458.699,Unclaimed Fees
ethereum,SYN-ETH Sushi LP,1566522.9422913003,Claimed Fees
ethereum,SYN-ETH Sushi LP,0.0,Unclaimed Fees
ethereum,WETH,20.348726836031027,Claimed Fees
ethereum,WETH,106159.69079197454,Unclaimed Fees
fantom,FTM,0.0,Claimed Fees
fantom,FTM,0.0,Unclaimed Fees
fantom,WFTM,392.64046994318744,Claimed Fees
fantom,WFTM,70.31805550623,Unclaimed Fees
fantom,SYN,816.4155062004857,Claimed Fees
fantom,SYN,5487.0244951444465,Unclaimed Fees
fantom,NUSD,233977.6490005853,Claimed Fees
fantom,NUSD,4.004334025862796,Unclaimed Fees
fantom,NETH,88486.60601609387,Claimed Fees
fantom,NETH,17397.05473759082,Unclaimed Fees
fantom,GOHM,0.0,Claimed Fees
fantom,GOHM,7311.064132325533,Unclaimed Fees
fantom,UNIDX,0.0,Claimed Fees
fantom,UNIDX,0.36800000000000005,Unclaimed Fees
metis,METIS,13124.72,Claimed Fees
metis,METIS,0.0,Unclaimed Fees
metis,m.USDC,1342040.806754,Claimed Fees
metis,m.USDC,0.0,Unclaimed Fees
metis,WETH,0.0,Claimed Fees
metis,WETH,0.0,Unclaimed Fees
metis,SYN,1269.420987511757,Claimed Fees
metis,SYN,242.64300756527118,Unclaimed Fees
metis,NUSD,0.006538346763889869,Claimed Fees
metis,NUSD,124095.02637814621,Unclaimed Fees
metis,NETH,0.0,Claimed Fees
metis,NETH,27522.828488687355,Unclaimed Fees
moonriver,MOVR,0.0,Claimed Fees
moonriver,MOVR,0.0,Unclaimed Fees
moonriver,USDC,0,Claimed Fees
moonriver,USDC,0,Unclaimed Fees
moonriver,WETH,0.0,Claimed Fees
moonriver,WETH,0.0,Unclaimed Fees
moonbeam,MOVR,0.0,Claimed Fees
moonbeam,MOVR,120.48086454195946,Unclaimed Fees
moonbeam,WETH,0.0,Claimed Fees
moonbeam,WETH,89.53468313623551,Unclaimed Fees
optimism,ETH,0.0,Claimed Fees
optimism,ETH,0.0,Unclaimed Fees
optimism,USDC,0.0,Claimed Fees
optimism,USDC,0.0,Unclaimed Fees
optimism,DAI,0.0,Claimed Fees
optimism,DAI,0.0,Unclaimed Fees
optimism,NETH,8517.005545116428,Claimed Fees
optimism,NETH,155886.83825907743,Unclaimed Fees
optimism,UNIDX,0.0,Claimed Fees
optimism,UNIDX,1642.3332952313838,Unclaimed Fees
optimism,OP,280500.0,Claimed Fees
optimism,OP,0.0,Unclaimed Fees
optimism,GOHM,0.0,Claimed Fees
optimism,GOHM,1947.4320067280025,Unclaimed Fees
optimism,USDT,0.0,Claimed Fees
optimism,USDT,0.0,Unclaimed Fees
optimism,SYN,0.0,Claimed Fees
optimism,SYN,810.0398236811889,Unclaimed Fees
optimism,NUSD,0.0,Claimed Fees
optimism,NUSD,155011.80602544767,Unclaimed Fees
optimism,USDC.e,0.0,Claimed Fees
optimism,USDC.e,0.0,Unclaimed Fees
optimism,SUSD,0.0,Claimed Fees
optimism,SUSD,0.0,Unclaimed Fees
optimism,WETH,0.0,Claimed Fees
optimism,WETH,0.0,Unclaimed Fees
polygon,MATIC,0.0,Claimed Fees
polygon,MATIC,0.0,Unclaimed Fees
polygon,WMATIC,17155.681921448664,Claimed Fees
polygon,WMATIC,491.03095326970003,Unclaimed Fees
polygon,USDC.e,32832.925195,Claimed Fees
polygon,USDC.e,0.0,Unclaimed Fees
polygon,WETH,0.0,Claimed Fees
polygon,WETH,0.0,Unclaimed Fees
polygon,USDT,19039.760559,Claimed Fees
polygon,USDT,0.0,Unclaimed Fees
polygon,DAI,15552.585742691157,Claimed Fees
polygon,DAI,0.0,Unclaimed Fees
polygon,SYN,422.4290704673206,Claimed Fees
polygon,SYN,691.1302469333483,Unclaimed Fees
polygon,GOHM,2014.2512736343094,Claimed Fees
polygon,GOHM,3026.3010326760946,Unclaimed Fees
polygon,NUSD,91147.47701837284,Claimed Fees
polygon,NUSD,128288.97904476868,Unclaimed Fees
