Chain,Claimed Fees,Unclaimed Fees
arbitrum,1421727.7515913334,215764.1058091028
aurora,0.0,127008.12306525234
avax,163054.6577189531,127043.41756464873
boba,36670.95591103838,141440.03063472276
bsc,202434.01122724905,174187.15720891932
canto,0.0,137049.81980401033
cronos,0.0,24922.786190143877
dfk,0,0
dogechain,0.0,5633.494321123275
ethereum,2839575.337776013,178500.1447296841
fantom,323673.31099282287,30269.83375459289
metis,1356434.9542798586,151860.49787439883
moonriver,0.0,0.0
moonbeam,0.0,210.015547678195
optimism,289017.00554511644,315298.44941016566
polygon,178165.11078061428,132497.44127764783
